yr_of_estab,Counts
1800,16
1801,12
1804,18
1807,6
1809,9
1810,3
1817,48
1818,21
1819,17
1820,6
1821,8
1822,4
1823,7
1824,2
1830,6
1831,24
1832,7
1833,11
1834,13
1836,10
1837,13
1838,157
1839,36
1840,18
1841,12
1842,6
1843,15
1845,12
1846,4
1847,54
1848,24
1849,18
1850,35
1851,24
1852,19
1853,32
1854,25
1855,120
1856,21
1857,12
1858,28
1859,20
1860,7
1861,11
1862,10
1863,24
1864,22
1865,21
1866,17
1867,32
1868,50
1869,50
1870,25
1871,25
1872,41
1873,52
1874,15
1875,36
1876,27
1877,19
1878,22
1879,16
1880,26
1881,27
1882,22
1883,17
1884,47
1885,90
1886,28
1887,32
1888,37
1889,42
1890,32
1891,18
1892,33
1893,16
1894,11
1895,22
1896,31
1897,37
1898,33
1899,32
1900,39
1901,22
1902,47
1903,16
1904,31
1905,16
1906,21
1907,33
1908,36
1909,55
1910,15
1911,110
1912,51
1913,23
1914,30
1915,23
1916,27
1917,22
1918,14
1919,51
1920,74
1921,11
1922,28
1923,34
1924,26
1925,59
1926,35
1927,17
1928,64
1929,31
1930,29
1931,35
1932,27
1933,31
1934,40
1935,20
1936,26
1937,23
1938,25
1939,69
1940,39
1941,22
1942,17
1943,18
1944,30
1945,35
1946,128
1947,128
1948,82
1949,59
1950,48
1951,46
1952,45
1953,45
1954,73
1955,20
1956,48
1957,35
1958,44
1959,45
1960,106
1961,63
1962,114
1963,129
1964,38
1965,97
1966,61
1967,43
1968,302
1969,157
1970,111
1971,140
1972,102
1973,90
1974,123
1975,149
1976,146
1977,319
1978,182
1979,213
1980,171
1981,256
1982,135
1983,160
1984,328
1985,315
1986,304
1987,295
1988,233
1989,383
1990,184
1991,243
1992,257
1993,464
1994,474
1995,392
1996,466
1997,761
1998,1134
1999,870
2000,806
2001,1017
2002,435
2003,614
2004,846
2005,1051
2006,844
2007,994
2008,674
2009,640
2010,743
2011,518
2012,492
2013,533
2014,175
2015,64
2016,23
